Artist,Sixties,Seventies,Eighties,Nineties,Two_Thousands,Twenty_Tens,Total Hits,Songs,Gender,Genre
busta rhymes and mariah carey,0,0,0,0,1,0,1,i know what you want,,
bw stevenson,0,1,0,0,0,0,1,my maria,male,
c w mccall,0,1,0,0,0,0,1,convoy,,
cah out,0,0,0,0,0,1,1,cashin out,,
cali swag district,0,0,0,0,0,1,1,teach me how to dougie,,
calloway,0,0,0,1,0,0,1,i wanna be rich,,
calvin harris,0,0,0,0,0,5,5,"feel so close, lets go, sweet nothing, i need your love, summer",male,Scottish_male_singers
calvin harris and disciples,0,0,0,0,0,1,1,how deep is your love,male,
cameo,0,0,1,0,0,0,1,word up,,
camron,0,0,0,0,2,0,2,"oh boy, hey ma",,
candi staton,0,1,0,0,0,0,1,young hearts run free,female,American_female_singers
candlebox,0,0,0,1,0,0,1,far behind,,
capital cities,0,0,0,0,0,1,1,safe and sound,,
captain  tennille,0,4,1,0,0,0,5,"love will keep us together, lonely night angel face, shop around, muskrat love, do that to me one more time",,
captain hollywood project,0,0,0,1,0,0,1,more and more,,
carl douglas,0,1,0,0,0,0,1,kung fu fighting,,
carl thomas,0,0,0,0,1,0,1,i wish,male,American_male_singers
carla thomas,1,0,0,0,0,0,1,baby,female,African-American_female_singers
carly rae jepsen,0,0,0,0,0,1,1,call me maybe,female,Canadian_female_pop_singers
carly simon,0,5,0,0,0,0,5,"thats the way ive always heard it should be, anticipation, youre so vain, nobody does it better, you belong to me",female,American_female_guitarists
carly simon  james taylor,0,1,0,0,0,0,1,mockingbird,,
carol douglas,0,1,0,0,0,0,1,doctors orders,female,American_female_singers
carole king,0,1,1,0,0,0,2,"its too latei feel the earth move, one fine day",female,American_female_pop_singers
carrie underwood,0,0,0,0,3,3,6,"inside your heaven, jesus take the wheel, before he cheats, undo it, good girl, blown away",female,American_female_country_singers
cascada,0,0,0,0,1,0,1,everytime we touch,,
case,0,0,0,3,1,0,4,"touch me tease me, happily ever after, faded pictures, missing you",,
cassidy,0,0,0,0,1,0,1,hotel,female,American_female_singer-songwriters
cassie,0,0,0,0,1,0,1,me  u,,
cat stevens,0,3,0,0,0,0,3,"wild world, morning has broken, oh very young",male,English_male_singer-songwriters
cathy dennis,0,0,0,3,0,0,3,"touch me all night long, too many walls, just another dream",female,English_female_pop_singers
cc music factory,0,0,0,3,0,0,3,"gonna make you sweat everybody dance now, here we go, things that make you go hmmm",,
cece peniston,0,0,0,3,0,0,3,"finally, keep on walkin, we got a love thang",female,African-American_female_singers
cee lo green,0,0,0,0,0,1,1,fuck you,,
celine dion,0,0,0,8,2,0,10,"where does my heart beat now, if you asked me to, the power of love, because you loved me, its all coming back to me now, all by myself, its all coming back to me now, my heart will go on, thats the way it is, a new day has come",female,Canadian_female_pop_singers
celine dion and peabo bryson,0,0,0,1,0,0,1,beauty and the beast,,
chad brock,0,0,0,0,1,0,1,yes,male,American_country_singers
chad kroeger,0,0,0,0,1,0,1,hero,male,Canadian_male_singers
chairmen of the board,0,1,0,0,0,0,1,give me just a little more time,,
chaka khan,0,0,1,0,0,0,1,i feel for you,female,African-American_female_singer-songwriters
chamillionaire,0,0,0,0,1,0,1,ridin,male,African-American_male_rappers
champaign,0,0,2,0,0,0,2,"how bout us, try again",,
