,1960,1970,1980,1990,2000,2010,
sweet inspirations,1,0,0,0,0,0,sweet inspiration
hurricane smith,0,1,0,0,0,0,oh babe what would you say
john parr,0,0,1,0,0,0,st elmos fire man in motion
jessica simpson,0,0,0,0,3,0,"i wanna love you forever, irresistible, with you"
ryan cabrera,0,0,0,0,2,0,"on the way down, TRUE"
blackstreet featuring m'ya mase and blinky blink,0,0,0,1,0,0,take me there
roger troutman,0,0,1,0,0,0,i want to be your man
edgar winter group,0,2,0,0,0,0,"frankenstein, free ride"
hermans hermits,7,0,0,0,0,0,"cant you hear my heart beat, mrs brown youve got a lovely daughter, silhouettes, im henery the eighth i am, wonderful world, dandy, theres a kind of hush"
jefferson airplane,2,0,0,0,0,0,"somebody to love, white rabbit"
christine mcvie,0,0,1,0,0,0,got a hold on me
inoj,0,0,0,2,0,0,"time after time, love you down"
hinder,0,0,0,0,3,0,"lips of an angel, lips of an angel, better than me"
david guetta featuring sia,0,0,0,0,0,1,titanium
david banner featuring chris brown,0,0,0,0,1,0,get like me
"green jell""y",0,0,0,1,0,0,three little pigs
nore,0,0,0,0,1,0,nothin
elton john,0,12,9,5,0,0,"rocket man, crocodile rock, daniel, bennie and the jets, goodbye yellow brick road, dont let the sun go down on me, philadelphia freedom, lucy in the sky with diamonds, someone saved my life tonight, island girl, sorry seems to be the hardest word, mama cant buy you love, little jeannie, blue eyes, empty garden hey hey johnny, im still standing, i guess thats why they call it the blues, sad songs say so much, nikita, i dont wanna go on with you like that, candle in the wind, the one, can you feel the love tonight, believe, something about the way you look tonight  candle in the wind 1997, candle in the wind 1997"
faith hill,0,0,0,1,5,0,"this kiss, breathe, the way you love me, the way you love me, there youll be, mississippi girl"
the main ingredient,0,2,0,0,0,0,"everybody plays the fool, just dont want to be lonely"
pharrell featuring jayz,0,0,0,0,1,0,frontin
capital cities,0,0,0,0,0,1,safe and sound
bon jovi featuring jennifer nettles,0,0,0,0,1,0,who says you cant go home
houston featuring chingy nate dogg and i20,0,0,0,0,1,0,i like that
crosby stills  nash,0,1,1,0,0,0,"just a song before i go, wasted on the way"
eve featuring alicia keys,0,0,0,0,1,0,gangsta lovin
ray charles,2,0,0,0,0,0,"crying time, here we go again"
andy kim,1,1,0,0,0,0,"baby i love you, rock me gently"
jayz featuring rihanna and kanye west,0,0,0,0,1,0,run this town
little big town,0,0,0,0,0,2,"pontoon, girl crush"
